"AirQualityStation","Latitude","Longitude","concentration"
"STA.DE_DEBY068","50.048397","10.232076","35.6978088172822823"
"STA.DE_DENW116","51.34257199999999","6.670194","35.6699999970000000"
"STA.DE_DEST102","51.494756","11.981314","34.5650467177166437"
"STA.DE_DENW074","50.883484","6.469312","33.1816717390355330"
"STA.DE_DENW378","51.61305599999999","7.473389","32.4344827558620690"
"STA.DE_DEMV020","54.09227799999999","12.141994","31.9498390611691884"
"STA.DE_DEBE061","52.463611","13.31825","31.3629698671018651"
"STA.DE_DEBE063","52.46753399999999","13.441654","31.0348923926255380"
"STA.DE_DEMV028","53.902260000000005","11.47596","30.8131678585078910"
"STA.DE_DEBB044","51.756593","14.327998","30.4747489201291248"
"STA.DE_DEMV022","54.09261999999999","12.099553000000002","30.4029761868898810"
"STA.DE_DESH027","54.304676","10.135158","30.0997272693663912"
"STA.DE_DEBB068","52.677651","13.582268999999998","30.0648493508034433"
"STA.DE_DENW134","51.477899","7.005275999999999","29.9939397360749186"
"STA.DE_DENW329","51.033834","6.451483","29.9564295866488414"
"STA.DE_DEBE065","52.51407199999999","13.469931","29.6377442492672414"
"STA.DE_DEST101","51.88954499999999","11.055946","29.6193436043333333"
"STA.DE_DEMV058","53.55879999999999","13.2679","29.1471305559827834"
"STA.DE_DEBB045","52.337336","14.538595","28.9152080308608321"
"STA.DE_DEBB067","52.608609","12.885193999999998","28.8962697238163558"
"STA.DE_DETH043","50.984874","11.019353","28.6429537046043165"
"STA.DE_DEBE064","52.481709","13.433967","28.5095982746341463"
"STA.DE_DENW133","51.36281799999999","7.46355","28.4615189468950437"
"STA.DE_DENW101","51.51959999999998","7.464249","28.3263870934050179"
"STA.DE_DESH022","54.78142999999999","9.43809","28.2175308430272597"
"STA.DE_DENW038","51.453459","6.865050000000001","28.1582463733876812"
"STA.DE_DETH091","51.205226","10.448432","28.1342066602252252"
"STA.DE_DESN077","51.335872","12.334686","28.1172436404025424"
"STA.DE_DEBE069","52.438115","13.38772","28.0639367780316092"
"STA.DE_DESH053","53.86223699999999","10.67332","27.9971979879770445"
"STA.DE_DEBB032","52.146264","14.638165999999998","27.9607437976308540"
"STA.DE_DENW208","51.527901","7.084555","27.9583878123031204"
"STA.DE_DEBB007","51.462734","13.526796","27.9577134949035813"
"STA.DE_DEBB054","52.393932","13.037474","27.9460797760660248"
"STA.DE_DENW024","51.49654000000001","6.980991","27.9353322495137763"
